code,trade_date,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
00667,20260909,中国东方教育,4.100,4.100,3.980,3.985,4.140,-0.155,-3.74,2260500,9090518,
00668,20260909,安克创新,128.200,131.100,125.100,126.100,128.200,-2.100,-1.64,215400,27319326,
00669,20260909,创科实业,130.300,134.400,130.300,131.700,131.500,+0.200,+0.15,6831539,903499610,
00670,20260909,中国东方航空股份,2.720,2.740,2.685,2.740,2.725,+0.015,+0.55,3636000,9893960,
00672,20260909,众安集团,0.081,0.081,0.074,0.078,0.076,+0.002,+2.63,373400,29109,
00673,20260909,中国卫生集团,0.290,0.310,0.275,0.310,0.325,-0.015,-4.62,108000,33090,
00674,20260909,中国唐商,0.047,0.053,0.047,0.053,0.047,+0.006,+12.77,264000,12948,
00675,20260909,坚宝国际,,,,0.360,0.360,+0.000,+0.00,,,
00676,20260909,创信国际,,,,1.010,1.010,+0.000,+0.00,,,
00677,20260909,金源发展国际实业,0.395,0.400,0.395,0.400,0.400,+0.000,+0.00,228000,90200,
00679,20260909,亚洲联网科技,5.670,6.175,5.670,5.930,5.670,+0.260,+4.59,585000,3482650,
00681,20260909,中民控股,0.028,0.032,0.028,0.032,0.028,+0.004,+14.29,7168000,213590,
00682,20260909,超大现代,0.214,0.215,0.214,0.215,0.216,-0.001,-0.46,30000,6440,
00683,20260909,嘉里建设,18.550,18.710,18.390,18.520,18.810,-0.290,-1.54,1129500,20925535,
00684,20260909,亚伦国际,0.400,0.450,0.400,0.450,0.400,+0.050,+12.50,176000,72860,
00685,20260909,世界华文媒体,,,,0.190,0.190,+0.000,+0.00,,,
00686,20260909,北京能源国际,0.675,0.675,0.670,0.670,0.670,+0.000,+0.00,92600,62552,
00687,20260909,泰昇集团,0.305,0.335,0.305,0.335,0.340,-0.005,-1.47,50000,15470,
00688,20260909,中国海外发展,13.180,13.180,12.780,12.960,13.010,-0.050,-0.38,25447039,328926410,
00689,20260909,长盈集团(控股),,,,0.141,0.141,+0.000,+0.00,20,3,
00690,20260909,联康生物科技集团,0.067,0.068,0.063,0.068,0.067,+0.001,+1.49,6880000,446560,
00691,20260909,山水水泥,,,,0.260,0.260,+0.000,+0.00,,,
00693,20260909,陈唱国际,1.560,1.560,1.560,1.560,1.535,+0.025,+1.63,27000,42120,
00694,20260909,北京首都机场股份,1.515,1.545,1.515,1.540,1.545,-0.005,-0.32,3194000,4905390,
