"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	300058","2025-05-27","CN","左侧","70.0","8.39","8.74","0.0417","否"
"	300058","2025-10-30","CN","右侧","85.0","6.66","11.45","0.7192","是"
"	300058","2025-12-30","CN","右侧","85.0","9.76","24.43","1.5031","是"
"","","","","","","","",""
"	300139","2025-08-25","CN","右侧","75.0","19.8","29.49","0.4894","是"
"	300139","2025-11-19","CN","右侧","75.0","24.69","33.88","0.3722","是"
"	300139","2026-03-20","CN","左侧","70.0","58.0","63.85","0.1009","是"
"","","","","","","","",""
"	300223","2025-08-07","CN","右侧","75.0","68.36","81.9","0.1981","是"
"","","","","","","","",""
"	300251","2025-08-15","CN","左侧","70.0","19.38","21.0","0.0836","否"
"	300251","2025-11-07","CN","左侧","75.0","16.93","17.28","0.0207","否"
"	300251","2025-12-12","CN","右侧","100.0","16.74","18.95","0.132","是"
"","","","","","","","",""
"	300699","2025-06-11","CN","左侧","70.0","30.82","32.0","0.0383","否"
"	300699","2025-07-10","CN","左侧","75.0","30.72","32.36","0.0534","否"
"	300699","2025-08-25","CN","右侧","75.0","32.74","32.77","0.0009","否"
"	300699","2025-10-15","CN","左侧","75.0","30.04","30.27","0.0077","否"
"	300699","2025-11-14","CN","左侧","75.0","28.92","31.39","0.0854","否"
"	300699","2026-02-02","CN","左侧","90.0","39.23","41.75","0.0642","否"
"","","","","","","","",""
"	300705","2025-06-03","CN","右侧","85.0","16.53","17.21","0.0411","否"
"	300705","2025-09-05","CN","左侧","70.0","18.0","18.33","0.0183","否"
"	300705","2025-11-14","CN","右侧","90.0","17.2","17.2","0.0","否"
"	300705","2026-01-12","CN","右侧","90.0","15.83","16.22","0.0246","否"
"","","","","","","","",""
"	300750","2025-06-25","CN","右侧","75.0","255.88","292.0","0.1412","是"
"","","","","","","","",""
"	300919","2025-08-25","CN","右侧","90.0","35.88","50.66","0.4119","是"
"	300919","2025-10-21","CN","左侧","70.0","42.9","52.45","0.2226","是"
"	300919","2026-02-04","CN","左侧","70.0","52.8","59.27","0.1225","是"
"","","","","","","","",""
"	300994","2025-10-21","CN","左侧","70.0","18.0","20.56","0.1422","是"
"	300994","2025-12-31","CN","左侧","75.0","15.8","17.38","0.1","否"
"	300994","2026-03-31","CN","右侧","85.0","16.34","16.48","0.0086","否"
"","","","","","","","",""
"	301275","2025-06-09","CN","右侧","100.0","58.51","61.52","0.0514","否"
"	301275","2025-07-29","CN","左侧","90.0","56.17","60.45","0.0762","否"
"	301275","2025-11-10","CN","左侧","70.0","52.94","54.68","0.0329","否"
"	301275","2025-12-10","CN","右侧","90.0","54.77","59.39","0.0844","否"
"	301275","2026-02-05","CN","左侧","90.0","58.28","60.4","0.0364","否"
"","","","","","","","",""
"	301309","2025-09-03","CN","左侧","70.0","29.54","30.99","0.0491","否"
"	301309","2026-01-05","CN","右侧","85.0","29.3","31.19","0.0645","否"
"	301309","2026-03-11","CN","右侧","75.0","31.14","37.8","0.2139","是"
"","","","","","","","",""
"	600105","2025-06-20","CN","左侧","90.0","7.41","9.32","0.2578","是"
"	600105","2025-08-01","CN","左侧","70.0","8.95","11.4","0.2737","是"
"	600105","2025-11-06","CN","左侧","70.0","14.7","17.39","0.183","是"
"","","","","","","","",""
"	600196","2025-12-24","CN","左侧","70.0","27.09","28.71","0.0598","否"
"	600196","2026-03-30","CN","右侧","85.0","26.71","27.35","0.024","否"
"","","","","","","","",""
"	600285","2025-08-06","CN","左侧","75.0","23.12","24.75","0.0705","否"
"	600285","2025-09-05","CN","左侧","70.0","23.4","23.42","0.0009","否"
"	600285","2026-01-22","CN","左侧","75.0","20.92","22.88","0.0937","否"
"	600285","2026-03-18","CN","左侧","70.0","22.02","22.9","0.04","否"
"","","","","","","","",""
"	600307","2025-09-18","CN","右侧","90.0","1.73","1.8","0.0405","否"
"	600307","2025-12-18","CN","左侧","70.0","1.61","2.06","0.2795","是"
"	600307","2026-02-09","CN","左侧","70.0","1.86","2.42","0.3011","是"
"","","","","","","","",""
"	600525","2025-06-16","CN","左侧","70.0","3.33","3.42","0.027","否"
"	600525","2025-08-12","CN","右侧","85.0","3.34","3.82","0.1437","是"
"	600525","2025-12-02","CN","左侧","70.0","3.71","3.85","0.0377","否"
"","","","","","","","",""
"	600570","2025-05-22","CN","左侧","70.0","26.15","31.7","0.2122","是"
"	600570","2025-12-08","CN","右侧","75.0","29.7","31.75","0.069","否"
"	600570","2026-01-30","CN","左侧","75.0","30.9","31.26","0.0117","否"
"","","","","","","","",""
"	600838","2025-12-09","CN","右侧","75.0","9.17","13.86","0.5115","是"
"	600838","2026-02-02","CN","左侧","70.0","11.87","13.1","0.1036","是"
"","","","","","","","",""
"	600875","2025-11-21","CN","左侧","75.0","20.55","24.45","0.1898","是"
"	600875","2026-02-03","CN","左侧","70.0","25.59","45.38","0.7733","是"
"	600875","2026-03-31","CN","左侧","90.0","36.79","38.6","0.0492","否"
"","","","","","","","",""
"	600966","2025-10-28","CN","左侧","70.0","4.94","6.2","0.2551","是"
"	600966","2025-12-11","CN","左侧","70.0","5.89","7.04","0.1952","是"
"","","","","","","","",""
"	601138","2025-10-23","CN","左侧","70.0","65.18","83.88","0.2869","是"
"","","","","","","","",""
"	601231","2025-05-23","CN","左侧","75.0","13.47","15.52","0.1522","是"
"	601231","2025-07-03","CN","右侧","75.0","14.76","16.22","0.0989","否"
"	601231","2025-09-15","CN","左侧","70.0","18.71","23.13","0.2362","是"
"	601231","2025-11-18","CN","左侧","90.0","21.59","26.25","0.2158","是"
"","","","","","","","",""
"	601628","2025-08-04","CN","左侧","70.0","40.75","43.47","0.0667","否"
"	601628","2025-12-05","CN","右侧","75.0","45.67","50.2","0.0992","否"
"	601628","2026-02-11","CN","左侧","70.0","48.78","48.9","0.0025","否"
"","","","","","","","",""
"	601636","2025-08-14","CN","左侧","75.0","6.04","7.05","0.1672","是"
"","","","","","","","",""
"	603103","2025-08-05","CN","左侧","90.0","16.8","17.74","0.056","否"
"	603103","2025-09-05","CN","右侧","75.0","17.15","19.15","0.1166","是"
"	603103","2025-11-20","CN","左侧","70.0","16.05","17.64","0.0991","否"
"","","","","","","","",""
"	603583","2025-05-26","CN","左侧","70.0","38.26","38.85","0.0154","否"
"	603583","2025-09-29","CN","左侧","70.0","43.45","44.1","0.015","否"
"	603583","2025-12-25","CN","右侧","75.0","35.86","40.2","0.121","是"
"","","","","","","","",""
"	603667","2025-07-16","CN","右侧","90.0","35.43","41.0","0.1572","是"
"	603667","2025-09-03","CN","右侧","75.0","39.4","52.5","0.3325","是"
"	603667","2025-10-14","CN","左侧","70.0","42.53","49.36","0.1606","是"
