"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标","入场日期","止损阈值","手续费bps","滑点bps","ATR周期","初始止损ATR倍数","移动止损模式","跟踪ATR倍数","回撤止损比例","保本触发R","锁盈触发R","锁盈保留R","分批止盈触发R","分批止盈比例","time_stop_bars","出场价格","出场日期","出场原因","持有K线数","入场成交价","出场成交价","单笔收益率","是否触发分批止盈","R倍数","初始风险比例","初始止损价","最大有利波动","最大不利波动"
"	603667","2024-05-10","CN","左侧","70.0","16.8","18.88","0.1238","是","2024-05-13","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.0","15","16.0","2024-05-15","止损","3","16.8","16.0","-0.047619","False","-1.0","0.047619","16.0","0.01131","-0.047619"
"	603667","2024-06-21","CN","左侧","70.0","16.71","17.17","0.0275","否","2024-06-24","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.0","15","15.1276","2024-07-05","止损","10","16.71","15.1276","-0.094699","False","-1.0","0.094699","15.1276","0.027528","-0.114303"
"	603667","2024-08-12","CN","左侧","70.0","14.15","14.75","0.0424","否","2024-08-13","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.0","15","13.1","2024-08-22","止损","8","14.15","13.1","-0.074205","False","-0.867769","0.085512","12.94","0.042403","-0.080565"
"	603667","2024-11-18","CN","左侧","70.0","17.59","35.45","1.0153","是","2024-11-19","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.0","15","17.59","2024-11-26","止损","6","17.59","17.59","0.0","False","0.0","0.069358","16.37","0.126777","-0.029562"
"	603667","2025-07-16","CN","右侧","90.0","35.43","41.0","0.1572","是","2025-07-17","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.0","15","35.43","2025-07-23","止损","5","35.43","35.43","0.0","False","0.0","0.052216","33.58","0.059272","-0.010725"
"	603667","2025-09-03","CN","右侧","75.0","39.4","52.5","0.3325","是","2025-09-04","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.0","15","36.5","2025-09-04","止损","1","39.4","36.5","-0.073604","False","-1.0","0.073604","36.5","0.012183","-0.073604"
"	603667","2025-10-14","CN","左侧","70.0","42.53","49.36","0.1606","是","2025-10-15","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.0","15","42.53","2025-10-15","止损","1","42.53","42.53","0.0","False","0.0","0.062544","39.87","0.071009","-0.015048"
"	603667","2025-11-20","CN","左侧","70.0","41.0","57.57","0.4041","是","2025-11-21","0.1","0.0","0.0","14","2.2","atr","3.0","0.08","1.0","2.0","0.5","2.0","0.4","15","41.05","2025-11-21","止损","1","41.0","41.85","0.020732","True","0.5","0.002439","40.9","0.082927","-0.002439"
