"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000599","2025-04-07","CN","右侧","85.0","4.37","5.15","0.1785","是"
"	000599","2025-05-14","CN","左侧","70.0","4.82","6.09","0.2635","是"
"	000599","2025-06-17","CN","左侧","75.0","5.02","5.42","0.0797","否"
"	000599","2025-07-16","CN","左侧","70.0","4.98","5.27","0.0582","否"
"	000599","2025-08-20","CN","右侧","75.0","5.12","5.87","0.1465","是"
"	000599","2025-11-28","CN","左侧","70.0","6.21","7.15","0.1514","是"
"	000599","2026-01-22","CN","左侧","70.0","6.25","8.1","0.296","是"
"	000599","2026-03-04","CN","左侧","70.0","6.85","7.09","0.035","否"
"","","","","","","","",""
"	000601","2025-08-29","CN","左侧","70.0","5.38","5.45","0.013","否"
"	000601","2026-02-12","CN","右侧","75.0","5.21","8.14","0.5624","是"
"","","","","","","","",""
"	000612","2025-04-03","CN","左侧","70.0","6.99","7.0","0.0014","否"
"	000612","2025-11-24","CN","左侧","90.0","9.67","10.45","0.0807","否"
"","","","","","","","",""
"	000617","2025-04-03","CN","右侧","85.0","6.3","8.43","0.3381","是"
"	000617","2025-05-15","CN","左侧","70.0","7.0","7.24","0.0343","否"
"	000617","2026-01-21","CN","左侧","90.0","9.26","9.34","0.0086","否"
"	000617","2026-03-11","CN","左侧","75.0","8.94","11.77","0.3166","是"
"","","","","","","","",""
"	000629","2025-08-07","CN","左侧","70.0","2.7","2.96","0.0963","否"
"	000629","2025-10-21","CN","左侧","90.0","2.95","3.4","0.1525","是"
"	000629","2025-11-25","CN","左侧","70.0","3.02","3.15","0.043","否"
"	000629","2026-01-05","CN","右侧","90.0","3.22","4.49","0.3944","是"
"	000629","2026-02-06","CN","左侧","70.0","3.74","4.32","0.1551","是"
"","","","","","","","",""
"	000630","2025-05-28","CN","左侧","70.0","3.14","3.32","0.0573","否"
"	000630","2025-07-09","CN","右侧","100.0","3.33","4.03","0.2102","是"
"	000630","2026-01-06","CN","右侧","90.0","5.93","9.19","0.5497","是"
"	000630","2026-03-12","CN","左侧","90.0","7.1","7.2","0.0141","否"
"","","","","","","","",""
"	000636","2025-05-26","CN","左侧","70.0","13.33","13.57","0.018","否"
"	000636","2025-08-13","CN","右侧","100.0","14.48","16.15","0.1153","是"
"","","","","","","","",""
"	000651","2025-04-21","CN","左侧","70.0","45.17","47.31","0.0474","否"
"	000651","2025-08-22","CN","右侧","85.0","47.25","48.35","0.0233","否"
"	000651","2025-11-19","CN","左侧","70.0","40.18","41.2","0.0254","否"
"	000651","2026-01-20","CN","右侧","85.0","41.3","41.34","0.001","否"
"	000651","2026-03-13","CN","右侧","75.0","38.5","39.2","0.0182","否"
"","","","","","","","",""
"	000652","2025-05-19","CN","右侧","90.0","3.9","4.15","0.0641","否"
"	000652","2025-08-08","CN","左侧","70.0","4.42","4.77","0.0792","否"
"	000652","2025-12-22","CN","左侧","70.0","4.31","4.4","0.0209","否"
"	000652","2026-02-06","CN","左侧","70.0","4.3","4.34","0.0093","否"
"","","","","","","","",""
