"code","date","market","buy_type","score_total","entry_close","max_high_20d","max_gain_20d","hit"
"00981","2024-07-15","HK","左侧","70.0","18.16","18.38","0.0121","False"
"00981","2024-08-21","HK","左侧","70.0","16.62","17.28","0.0397","False"
"00981","2024-08-23","HK","左侧","70.0","16.34","17.28","0.0575","False"
"00981","2024-08-26","HK","左侧","70.0","16.48","17.74","0.0765","False"
"00981","2024-12-11","HK","左侧","70.0","26.8","34.35","0.2817","True"
"00981","2025-04-22","HK","左侧","70.0","46.6","48.3","0.0365","False"
"00981","2025-11-11","HK","左侧","75.0","72.65","77.25","0.0633","False"
"00981","2025-11-18","HK","左侧","75.0","74.0","75.25","0.0169","False"
"00981","2025-11-20","HK","左侧","75.0","73.5","73.7","0.0027","False"
