code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
688066,2022-04-01,CN,左侧,75.0,68.95,69.22,0.0039,False
000735,2022-04-01,CN,右侧,100.0,6.85,7.16,0.0453,False
688066,2022-04-06,CN,左侧,90.0,67.85,69.22,0.0202,False
688066,2022-04-07,CN,左侧,90.0,67.51,68.09,0.0086,False
600436,2022-04-07,CN,左侧,90.0,308.88,318.0,0.0295,False
300750,2022-04-13,CN,左侧,75.0,466.0,476.0,0.0215,False
