股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠000558,天府文旅,30.0%,,4.75,,,,,,,,,-0.63%,
⁠000721,西安饮食,30.0%,,8.36,,,,,,,,,-0.36%,
⁠000735,罗 牛 山,30.0%,,7.62,,,,,,,,,-1.42%,
⁠000938,紫光股份,30.0%,,25.80,,,,,,,,,-2.71%,
⁠000977,浪潮信息,30.0%,,61.79,,,,,,,,,-2.39%,
⁠000997,新 大 陆,30.0%,,22.51,,,,,,,,,-2.22%,
⁠002025,航天电器,30.0%,,54.90,,,,,,,,,-8.44%,
⁠002050,三花智控,30.0%,,47.30,,,,,,,,,-3.03%,
⁠002153,石基信息,50.0%,,10.84,,,,,,,,,-2.17%,
⁠002156,通富微电,50.0%,,45.86,,,,,,,,,-1.01%,
⁠002171,楚江新材,70.0%,左侧,12.40,,,,,,,,,-2.52%,
⁠002173,创新医疗,30.0%,,31.71,,,,,,,,,6.59%,
⁠002202,金风科技,30.0%,,31.43,,,,,,,,,0.45%,
⁠002230,科大讯飞,30.0%,,51.80,,,,,,,,,-1.67%,
⁠002241,歌尔股份,30.0%,,25.19,,,,,,,,,-0.63%,
⁠002320,海峡股份,50.0%,,9.48,,,,,,,,,-1.56%,
⁠002335,科华数据,30.0%,,64.06,,,,,,,,,-6.30%,
⁠002364,中恒电气,30.0%,,32.86,,,,,,,,,-5.11%,
⁠002402,和而泰,50.0%,,31.78,,,,,,,,,-1.30%,
⁠002413,雷科防务,30.0%,,13.84,,,,,,,,,-4.09%,
⁠002415,海康威视,30.0%,,31.94,,,,,,,,,0.06%,
⁠002518,科士达,30.0%,,53.69,,,,,,,,,-2.17%,
⁠002549,凯美特气,30.0%,,19.98,,,,,,,,,-4.08%,
⁠002557,洽洽食品,50.0%,,22.40,,,,,,,,,1.04%,
⁠002603,以岭药业,30.0%,,16.92,,,,,,,,,-0.18%,
⁠002611,东方精工,30.0%,,16.92,,,,,,,,,-2.31%,
⁠002624,完美世界,30.0%,,19.25,,,,,,,,,-5.82%,
⁠002625,光启技术,30.0%,,43.36,,,,,,,,,-0.39%,
⁠002709,天赐材料,30.0%,,48.77,,,,,,,,,0.29%,
⁠002759,天际股份,30.0%,,36.79,,,,,,,,,2.97%,
⁠003007,直真科技,90.0%,左侧,42.75,,,,,,,,,-3.50%,
⁠00700,腾讯控股,20.0%,,546.50,,,,,,,,,-1.00%,
⁠02565,派格生物医药－Ｂ,0.0%,,53.70,,,,,,,,,0.47%,
⁠300169,天晟新材,50.0%,,6.68,,,,,,,,,0.30%,
⁠300223,北京君正,50.0%,,119.15,,,,,,,,,-0.54%,
⁠301008,宏昌科技,30.0%,,31.35,,,,,,,,,-1.91%,
⁠600089,特变电工,30.0%,,30.32,,,,,,,,,-1.69%,
⁠600105,永鼎股份,30.0%,,27.61,,,,,,,,,0.95%,
⁠600353,旭光电子,30.0%,,16.00,,,,,,,,,-2.32%,
⁠600436,片仔癀,50.0%,,156.42,,,,,,,,,0.01%,
⁠600498,烽火通信,30.0%,,52.36,,,,,,,,,-5.66%,
⁠600570,恒生电子,50.0%,,27.29,,,,,,,,,-2.01%,
⁠600584,长电科技,30.0%,,45.48,,,,,,,,,-0.55%,
⁠600619,海立股份,30.0%,,17.88,,,,,,,,,-0.11%,
⁠600660,福耀玻璃,30.0%,,59.51,,,,,,,,,-0.65%,
⁠600703,三安光电,50.0%,,18.14,,,,,,,,,-3.20%,
⁠600875,东方电气,30.0%,,38.40,,,,,,,,,-5.11%,
⁠601138,工业富联,30.0%,,52.49,,,,,,,,,-0.10%,
⁠601179,中国西电,30.0%,,17.65,,,,,,,,,-5.31%,
⁠601609,金田股份,30.0%,,10.53,,,,,,,,,-2.50%,
⁠601615,明阳智能,30.0%,,22.15,,,,,,,,,0.54%,
⁠601669,中国电建,30.0%,,7.19,,,,,,,,,9.94%,
⁠601868,中国能建,30.0%,,3.74,,,,,,,,,-1.58%,
⁠603005,晶方科技,50.0%,,30.28,,,,,,,,,-0.85%,
⁠603019,中科曙光,55.0%,,89.10,,,,,,,,,-0.86%,
⁠603068,博通集成,50.0%,,33.85,,,,,,,,,-0.97%,
⁠603228,景旺电子,50.0%,,62.14,,,,,,,,,-2.39%,
⁠603297,永新光学,30.0%,,115.88,,,,,,,,,-2.37%,
⁠603337,杰克科技,70.0%,,45.00,,,,,,,,,-2.85%,
⁠603486,科沃斯,50.0%,,63.70,,,,,,,,,-0.75%,
⁠603496,恒为科技,30.0%,,29.40,,,,,,,,,-4.11%,
⁠603601,再升科技,30.0%,,11.61,,,,,,,,,-6.97%,
⁠603667,五洲新春,30.0%,,72.19,,,,,,,,,-5.19%,
⁠603738,泰晶科技,30.0%,,23.01,,,,,,,,,-0.17%,
⁠603800,洪田股份,70.0%,左侧,38.70,,,,,,,,,0.10%,
⁠603859,能科科技,50.0%,,40.80,,,,,,,,,-1.90%,
⁠603918,金桥信息,30.0%,,14.50,,,,,,,,,-2.03%,
⁠603933,睿能科技,30.0%,,21.52,,,,,,,,,-1.33%,
⁠688114,华大智造,50.0%,,53.79,,,,,,,,,-1.95%,
