股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠003007,直真科技,90.0%,左侧,42.75,-0.4300,13,7,44.91,-0.96%,-1.01%,-1.00%,1.86,-3.50%,总分90.0 蓄势90.0(引力20.0+平衡40.0+量缩30.0)S 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002171,楚江新材,70.0%,左侧,12.40,-0.1100,8,11,12.91,-0.85%,-0.89%,-0.88%,0.73,-2.52%,总分70.0 蓄势70.0(引力0.0+平衡40.0+量缩30.0)A 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603337,杰克科技,70.0%,,45.00,0.5600,10,10,44.44,1.26%,1.24%,1.26%,1.00,-2.85%,总分70.0 蓄势50.0(引力0.0+平衡20.0+量缩30.0) 动量70.0(推力40.0+支撑30.0+攻击0.0)
⁠603800,洪田股份,70.0%,左侧,38.70,-0.2600,9,11,39.51,-0.66%,-0.67%,-0.67%,0.82,0.10%,总分70.0 蓄势70.0(引力0.0+平衡40.0+量缩30.0)A 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603019,中科曙光,55.0%,,89.10,2.3100,11,9,88.78,2.60%,2.59%,2.66%,1.22,-0.86%,总分55.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量55.0(推力40.0+支撑15.0+攻击0.0)
⁠002153,石基信息,50.0%,,10.84,-2.0200,13,7,11.74,-17.21%,-18.63%,-15.71%,1.86,-2.17%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002156,通富微电,50.0%,,45.86,-1.0400,12,8,48.55,-2.14%,-2.27%,-2.22%,1.50,-1.01%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002320,海峡股份,50.0%,,9.48,-0.9900,11,7,10.18,-9.72%,-10.44%,-9.46%,1.57,-1.56%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002402,和而泰,50.0%,,31.78,-4.3700,14,6,34.73,-12.58%,-13.75%,-12.09%,2.33,-1.30%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002557,洽洽食品,50.0%,,22.40,-1.7200,14,6,23.04,-7.47%,-7.68%,-7.13%,2.33,1.04%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300169,天晟新材,50.0%,,6.68,-0.4900,13,7,6.77,-7.24%,-7.34%,-6.83%,1.86,0.30%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300223,北京君正,50.0%,,119.15,-4.4800,12,8,125.23,-3.58%,-3.76%,-3.62%,1.50,-0.54%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600436,片仔癀,50.0%,,156.42,-13.5800,13,7,162.01,-8.38%,-8.68%,-7.99%,1.86,0.01%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600570,恒生电子,50.0%,,27.29,-2.4800,12,8,29.03,-8.54%,-9.09%,-8.33%,1.50,-2.01%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600703,三安光电,50.0%,,18.14,2.7600,12,8,16.20,17.04%,15.21%,17.95%,1.50,-3.20%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠603005,晶方科技,50.0%,,30.28,1.1200,12,8,32.01,3.50%,3.70%,3.84%,1.50,-0.85%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603068,博通集成,50.0%,,33.85,-2.9800,12,8,36.24,-8.22%,-8.80%,-8.09%,1.50,-0.97%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603228,景旺电子,50.0%,,62.14,0.6600,9,11,63.26,1.04%,1.06%,1.07%,0.82,-2.39%,总分50.0 蓄势50.0(引力0.0+平衡20.0+量缩30.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠603486,科沃斯,50.0%,,63.70,-7.3200,14,6,68.14,-10.74%,-11.49%,-10.31%,2.33,-0.75%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603859,能科科技,50.0%,,40.80,-4.1500,12,8,45.32,-9.16%,-10.17%,-9.23%,1.50,-1.90%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688114,华大智造,50.0%,,53.79,-13.7100,13,7,61.23,-22.39%,-25.49%,-20.31%,1.86,-1.95%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000558,天府文旅,30.0%,,4.75,-0.5500,11,8,5.00,-11.01%,-11.58%,-10.38%,1.38,-0.63%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000721,西安饮食,30.0%,,8.36,-0.5600,11,9,8.61,-6.50%,-6.70%,-6.28%,1.22,-0.36%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000735,罗 牛 山,30.0%,,7.62,-0.1200,10,10,7.69,-1.56%,-1.57%,-1.55%,1.00,-1.42%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000938,紫光股份,30.0%,,25.80,1.4500,9,11,25.05,5.79%,5.62%,5.95%,0.82,-2.71%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠000977,浪潮信息,30.0%,,61.79,2.4000,7,13,61.76,3.89%,3.88%,4.04%,0.54,-2.39%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
