股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠000651,格力电器,70.0%,左侧,39.02,0.2200,9,11,37.95,0.58%,0.56%,0.57%,0.82,0.20%,总分70.0 蓄势70.0(引力0.0+平衡40.0+量缩30.0)A 动量70.0(推力40.0+支撑30.0+攻击0.0)
⁠000983,山西焦煤,70.0%,左侧,6.92,-0.0400,10,10,7.22,-0.55%,-0.58%,-0.57%,1.00,-2.67%,总分70.0 蓄势70.0(引力0.0+平衡40.0+量缩30.0)A 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠301275,汉朔科技,60.0%,,44.40,-15.2500,17,3,52.52,-29.04%,-34.35%,-25.57%,5.67,-2.89%,总分60.0 蓄势60.0(引力30.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002050,三花智控,50.0%,,46.41,-6.8900,12,8,49.56,-13.90%,-14.85%,-12.93%,1.50,1.13%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002155,湖南黄金,50.0%,,31.49,-2.4700,14,6,35.39,-6.98%,-7.84%,-7.27%,2.33,-0.19%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002271,东方雨虹,50.0%,,15.72,-1.9800,13,7,17.25,-11.48%,-12.60%,-11.19%,1.86,-0.13%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002557,洽洽食品,50.0%,,22.53,-1.1200,13,7,22.89,-4.89%,-4.97%,-4.74%,1.86,0.04%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300058,蓝色光标,50.0%,,15.48,-4.1400,13,7,17.27,-23.97%,-26.74%,-21.10%,1.86,1.98%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300139,晓程科技,50.0%,,61.89,3.8100,13,7,67.44,5.65%,6.16%,6.56%,1.86,-2.50%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300919,中伟新材,50.0%,,49.80,-0.8600,12,8,53.76,-1.60%,-1.73%,-1.70%,1.50,-1.48%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601138,工业富联,50.0%,,52.06,-4.0100,12,8,54.61,-7.34%,-7.70%,-7.15%,1.50,2.28%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601231,环旭电子,50.0%,,36.95,-0.8500,12,8,41.40,-2.05%,-2.30%,-2.25%,1.50,2.84%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603583,捷昌驱动,50.0%,,33.70,-3.7200,12,8,35.58,-10.46%,-11.04%,-9.94%,1.50,0.78%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603667,五洲新春,50.0%,,69.95,-21.2300,13,7,78.02,-27.21%,-30.35%,-23.28%,1.86,1.36%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688114,华大智造,50.0%,,53.50,-14.1500,14,6,59.85,-23.64%,-26.45%,-20.92%,2.33,-0.76%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688291,金橙子,50.0%,,40.88,-4.2800,14,6,46.62,-9.18%,-10.47%,-9.48%,2.33,2.66%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠920263,中航泰达,50.0%,,11.16,-1.6500,12,8,12.69,-13.01%,-14.78%,-12.88%,1.50,-0.98%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000533,顺钠股份,30.0%,,19.75,8.2100,7,13,14.10,58.24%,41.57%,71.14%,0.54,-3.80%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
