股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠000533,顺钠股份,30.0%,,19.75,,,,,,,,,-3.80%,
⁠000558,天府文旅,30.0%,,4.70,,,,,,,,,-1.05%,
⁠000651,格力电器,70.0%,左侧,39.02,,,,,,,,,0.20%,
⁠000709,河钢股份,30.0%,,2.50,,,,,,,,,-1.96%,
⁠000721,西安饮食,30.0%,,8.25,,,,,,,,,-1.08%,
⁠000905,厦门港务,30.0%,,11.42,,,,,,,,,-0.44%,
⁠000983,山西焦煤,70.0%,左侧,6.92,,,,,,,,,-2.67%,
⁠002050,三花智控,50.0%,,46.41,,,,,,,,,1.13%,
⁠002155,湖南黄金,50.0%,,31.49,,,,,,,,,-0.19%,
⁠002171,楚江新材,30.0%,,11.88,,,,,,,,,-0.34%,
⁠002230,科大讯飞,30.0%,,51.58,,,,,,,,,0.80%,
⁠002271,东方雨虹,50.0%,,15.72,,,,,,,,,-0.13%,
⁠002364,中恒电气,30.0%,,31.23,,,,,,,,,2.90%,
⁠002557,洽洽食品,50.0%,,22.53,,,,,,,,,0.04%,
⁠002709,天赐材料,30.0%,,44.33,,,,,,,,,-2.74%,
⁠00700,腾讯控股,70.0%,,550.50,,,,,,,,,0.09%,
⁠00981,中芯国际,60.0%,,61.70,,,,,,,,,-0.24%,
⁠01810,小米集团-W,30.0%,,35.14,,,,,,,,,-0.62%,
⁠02269,药明生物,30.0%,,35.52,,,,,,,,,1.66%,
⁠02565,派格生物医药-B,30.0%,,56.25,,,,,,,,,0.54%,
⁠02899,紫金矿业,50.0%,,37.34,,,,,,,,,1.08%,
⁠03690,美团-W,50.0%,,80.30,,,,,,,,,0.38%,
⁠03750,宁德时代,30.0%,,650.50,,,,,,,,,0.39%,
⁠09988,阿里巴巴-W,50.0%,,137.70,,,,,,,,,2.30%,
⁠300058,蓝色光标,50.0%,,15.48,,,,,,,,,1.98%,
⁠300139,晓程科技,50.0%,,61.89,,,,,,,,,-2.50%,
⁠300223,北京君正,30.0%,,130.63,,,,,,,,,5.04%,
⁠300699,光威复材,30.0%,,37.00,,,,,,,,,-4.17%,
⁠300705,九典制药,30.0%,,14.83,,,,,,,,,0.88%,
⁠300750,宁德时代,30.0%,,402.02,,,,,,,,,-0.74%,
⁠300919,中伟新材,50.0%,,49.80,,,,,,,,,-1.48%,
⁠301275,汉朔科技,60.0%,,44.40,,,,,,,,,-2.89%,
⁠600105,永鼎股份,30.0%,,27.49,,,,,,,,,1.55%,
⁠600307,酒钢宏兴,30.0%,,2.42,,,,,,,,,10.00%,
⁠600525,ST长园,30.0%,,5.57,,,,,,,,,0.72%,
⁠600570,恒生电子,30.0%,,27.52,,,,,,,,,-0.14%,
⁠600838,上海九百,30.0%,,11.11,,,,,,,,,0.27%,
