股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠688291,金橙子,75.0%,左侧,44.55,-0.3100,13,7,47.29,-0.66%,-0.70%,-0.69%,1.86,-4.13%,总分75.0 蓄势75.0(引力20.0+平衡40.0+量缩15.0)A 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000035,中国天楹,60.0%,右侧,7.74,1.7600,10,10,6.55,26.85%,22.74%,29.43%,1.00,-1.02%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠300750,宁德时代,55.0%,,357.50,8.5200,11,9,356.74,2.39%,2.38%,2.44%,1.22,0.77%,总分55.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量55.0(推力40.0+支撑15.0+攻击0.0)
⁠000983,山西焦煤,50.0%,右侧,7.36,0.6800,10,10,7.14,9.52%,9.24%,10.18%,1.00,2.22%,总分50.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量50.0(推力0.0+支撑30.0+攻击20.0)
⁠002364,中恒电气,50.0%,右侧,35.12,5.3600,8,11,33.13,16.18%,15.26%,18.01%,0.73,-1.51%,总分50.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量50.0(推力0.0+支撑30.0+攻击20.0)
⁠002709,天赐材料,50.0%,右侧,43.36,3.3200,11,9,41.67,7.97%,7.66%,8.29%,1.22,3.48%,总分50.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量50.0(推力0.0+支撑30.0+攻击20.0)
⁠300058,蓝色光标,50.0%,,16.77,-4.6000,14,6,18.62,-24.70%,-27.43%,-21.53%,2.33,1.57%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300251,光线传媒,50.0%,,17.28,-2.3600,13,7,20.65,-11.43%,-13.66%,-12.02%,1.86,-1.14%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002100,天康生物,45.0%,右侧,7.45,0.4300,8,12,7.10,6.06%,5.77%,6.13%,0.67,2.34%,总分45.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠000905,厦门港务,40.0%,,12.30,0.0900,9,11,12.62,0.71%,0.73%,0.74%,0.82,-3.30%,总分40.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠688498,源杰科技,40.0%,,806.30,-1.4000,10,10,797.11,-0.18%,-0.17%,-0.17%,1.00,-5.24%,总分40.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠688795,摩尔线程-U,40.0%,,568.50,-1.5000,10,10,570.80,-0.26%,-0.26%,-0.26%,1.00,-2.15%,总分40.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠02899,紫金矿业,40.0%,,38.98,-0.5800,12,8,42.27,-1.37%,-1.49%,-1.47%,1.50,-2.84%,总分40.0 蓄势40.0(引力20.0+平衡20.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002155,湖南黄金,35.0%,,36.99,3.6900,12,8,35.75,10.32%,9.98%,11.08%,1.50,-0.03%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠002557,洽洽食品,35.0%,,22.76,-1.2000,13,7,23.30,-5.15%,-5.27%,-5.01%,1.86,-1.47%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000533,顺钠股份,30.0%,,16.37,7.1500,7,13,11.81,60.53%,43.68%,77.55%,0.54,10.01%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠000558,天府文旅,30.0%,,4.70,-0.7000,10,9,5.13,-13.63%,-14.89%,-12.96%,1.11,-1.26%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000709,河钢股份,30.0%,,2.55,0.2000,9,10,2.53,7.92%,7.84%,8.51%,0.90,-1.16%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠002202,金风科技,30.0%,,28.47,2.8400,8,11,26.72,10.63%,9.98%,11.08%,0.73,0.00%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠002271,东方雨虹,30.0%,,16.45,0.2000,11,9,17.66,1.13%,1.22%,1.23%,1.22,-3.86%,总分30.0 蓄势20.0(引力0.0+平衡20.0+量缩0.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠002506,协鑫集成,30.0%,,5.78,2.4800,6,13,4.75,52.24%,42.91%,75.15%,0.46,3.96%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠300139,晓程科技,30.0%,,74.00,19.3000,9,11,65.87,29.30%,26.08%,35.28%,0.82,2.62%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠300919,中伟新材,30.0%,,52.20,0.6100,11,9,53.50,1.14%,1.17%,1.18%,1.22,1.30%,总分30.0 蓄势20.0(引力0.0+平衡20.0+量缩0.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠301275,汉朔科技,30.0%,,49.92,-8.0500,14,5,55.90,-14.40%,-16.13%,-13.89%,2.80,-1.91%,总分30.0 蓄势30.0(引力30.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600105,永鼎股份,30.0%,,26.59,0.6400,9,11,27.68,2.31%,2.41%,2.47%,0.82,-1.45%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠600525,ST长园,30.0%,,5.82,1.1900,9,11,4.93,24.15%,20.45%,25.70%,0.82,5.05%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠600838,上海九百,30.0%,,10.76,-1.1100,11,8,11.36,-9.77%,-10.32%,-9.35%,1.38,-0.92%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600875,东方电气,30.0%,,43.00,18.3600,7,13,33.40,54.98%,42.70%,74.51%,0.54,-2.76%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠601636,旗滨集团,30.0%,,6.84,0.1700,9,10,7.20,2.36%,2.49%,2.55%,0.90,-1.30%,总分30.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠603103,横店影视,30.0%,,24.98,-3.0700,9,11,29.75,-10.32%,-12.29%,-10.94%,0.82,0.44%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688256,寒武纪-U,30.0%,,1125.99,-116.0100,11,9,1121.25,-10.35%,-10.30%,-9.34%,1.22,-2.50%,总分30.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠03690,美团-W,30.0%,,78.70,-16.1500,15,5,83.87,-19.26%,-20.52%,-17.03%,3.00,2.41%,总分30.0 蓄势30.0(引力30.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠09988,阿里巴巴-W,30.0%,,128.70,-34.6000,15,5,148.10,-23.36%,-26.88%,-21.19%,3.00,-1.53%,总分30.0 蓄势30.0(引力30.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000651,格力电器,20.0%,,37.33,-1.2100,12,8,38.06,-3.18%,-3.24%,-3.14%,1.50,-0.19%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300223,北京君正,20.0%,,119.28,-8.6100,12,8,127.12,-6.77%,-7.22%,-6.73%,1.50,-4.22%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300705,九典制药,20.0%,,14.91,-0.1800,9,11,15.26,-1.18%,-1.21%,-1.19%,0.82,-0.67%,总分20.0 蓄势20.0(引力0.0+平衡20.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600570,恒生电子,20.0%,,27.68,-2.4900,13,7,29.55,-8.43%,-9.00%,-8.25%,1.86,-0.65%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603583,捷昌驱动,20.0%,,33.61,-3.1700,12,8,36.33,-8.73%,-9.43%,-8.62%,1.50,-2.72%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688066,航天宏图,20.0%,,23.65,-4.9000,13,7,24.95,-19.64%,-20.72%,-17.16%,1.86,-4.52%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688981,中芯国际,20.0%,,105.14,-11.9200,12,8,113.09,-10.54%,-11.34%,-10.18%,1.50,-1.28%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠00700,腾讯控股,20.0%,,516.00,-42.0000,13,7,530.27,-7.92%,-8.14%,-7.53%,1.86,-0.58%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠00981,中芯国际,20.0%,,60.85,-11.3500,13,7,67.34,-16.86%,-18.65%,-15.72%,1.86,-1.54%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠02269,药明生物,20.0%,,35.42,-0.4400,9,11,38.45,-1.14%,-1.24%,-1.23%,0.82,-2.53%,总分20.0 蓄势20.0(引力0.0+平衡20.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠02565,派格生物医药-B,20.0%,,55.00,-7.2000,11,9,62.77,-11.47%,-13.09%,-11.58%,1.22,-8.49%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠000721,西安饮食,15.0%,,8.31,-0.4600,10,10,8.72,-5.28%,-5.54%,-5.25%,1.00,-1.42%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002050,三花智控,15.0%,,46.99,-3.7500,11,9,50.65,-7.40%,-7.98%,-7.39%,1.22,-1.51%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600307,酒钢宏兴,15.0%,,1.88,0.1100,10,9,1.87,5.89%,5.85%,6.21%,1.11,-0.53%,总分15.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量15.0(推力0.0+支撑15.0+攻击0.0)
⁠603667,五洲新春,15.0%,,72.05,-7.6100,10,10,80.61,-9.44%,-10.56%,-9.55%,1.00,-0.72%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603933,睿能科技,15.0%,,22.05,-0.5800,9,10,22.85,-2.54%,-2.63%,-2.56%,0.90,-0.81%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠920263,中航泰达,10.0%,,12.25,-0.5700,11,9,13.02,-4.38%,-4.65%,-4.45%,1.22,-4.74%,总分10.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量10.0(推力0.0+支撑-10.0+攻击20.0)
⁠03750,宁德时代,10.0%,,503.00,16.4000,11,9,507.91,3.23%,3.26%,3.37%,1.22,-1.95%,总分10.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量10.0(推力0.0+支撑-10.0+攻击20.0)
⁠002171,楚江新材,0.0%,,12.30,-0.2800,10,9,12.96,-2.16%,-2.28%,-2.23%,1.11,-3.98%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002230,科大讯飞,0.0%,,53.50,-3.5000,11,9,55.42,-6.32%,-6.54%,-6.14%,1.22,1.85%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300699,光威复材,0.0%,,37.48,-1.2700,9,11,39.22,-3.24%,-3.39%,-3.28%,0.82,-3.10%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600966,博汇纸业,0.0%,,7.95,0.6600,9,11,7.99,8.26%,8.30%,9.05%,0.82,-2.93%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601138,工业富联,0.0%,,52.79,-2.8900,10,10,55.14,-5.24%,-5.47%,-5.19%,1.00,-2.83%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601231,环旭电子,0.0%,,38.35,5.8600,11,9,40.12,14.61%,15.28%,18.04%,1.22,-2.74%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688114,华大智造,0.0%,,55.30,-10.2300,11,9,63.50,-16.11%,-18.50%,-15.61%,1.22,-1.88%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠01810,小米集团-W,0.0%,,33.68,-1.3800,9,11,34.79,-3.97%,-4.10%,-3.94%,0.82,0.78%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
