股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠000035,中国天楹,60.0%,右侧,8.13,,,,,,,,,5.04%,
⁠000533,顺钠股份,60.0%,右侧,17.66,,,,,,,,,7.88%,
⁠000558,天府文旅,30.0%,,4.80,,,,,,,,,2.13%,
⁠000651,格力电器,0.0%,,37.74,,,,,,,,,1.10%,
⁠000709,河钢股份,0.0%,,2.52,,,,,,,,,-1.18%,
⁠000721,西安饮食,15.0%,,8.42,,,,,,,,,1.32%,
⁠000905,厦门港务,70.0%,左侧,12.40,,,,,,,,,0.81%,
⁠000983,山西焦煤,0.0%,,7.05,,,,,,,,,-4.21%,
⁠002050,三花智控,0.0%,,48.44,,,,,,,,,3.09%,
⁠002100,天康生物,60.0%,右侧,7.61,,,,,,,,,2.15%,
⁠002155,湖南黄金,90.0%,左侧,36.49,,,,,,,,,-1.35%,
⁠002171,楚江新材,0.0%,,12.55,,,,,,,,,2.03%,
⁠002202,金风科技,30.0%,,28.48,,,,,,,,,0.04%,
⁠002230,科大讯飞,0.0%,,53.70,,,,,,,,,0.37%,
⁠002271,东方雨虹,55.0%,,16.96,,,,,,,,,3.10%,
⁠002364,中恒电气,30.0%,,36.51,,,,,,,,,3.96%,
⁠002506,协鑫集成,30.0%,,6.07,,,,,,,,,5.02%,
⁠002557,洽洽食品,50.0%,,22.96,,,,,,,,,0.88%,
⁠002709,天赐材料,60.0%,右侧,45.15,,,,,,,,,4.13%,
⁠002715,登云股份,20.0%,,16.73,,,,,,,,,4.11%,
⁠00700,腾讯控股,60.0%,,553.50,,,,,,,,,7.27%,
⁠00981,中芯国际,20.0%,,64.20,,,,,,,,,5.51%,
⁠01810,小米集团-W,40.0%,,33.62,,,,,,,,,-0.18%,
⁠02269,药明生物,40.0%,,36.62,,,,,,,,,3.39%,
⁠02565,派格生物医药-B,20.0%,,51.80,,,,,,,,,-5.82%,
⁠02899,紫金矿业,15.0%,,39.94,,,,,,,,,2.46%,
⁠03690,美团-W,20.0%,,79.10,,,,,,,,,0.51%,
⁠03750,宁德时代,45.0%,右侧,550.00,,,,,,,,,9.34%,
⁠09988,阿里巴巴-W,20.0%,,133.50,,,,,,,,,3.73%,
⁠300058,蓝色光标,20.0%,,16.90,,,,,,,,,0.78%,
⁠300139,晓程科技,30.0%,,70.55,,,,,,,,,-4.66%,
⁠300223,北京君正,0.0%,,124.50,,,,,,,,,4.38%,
⁠300251,光线传媒,50.0%,,17.30,,,,,,,,,0.12%,
⁠300699,光威复材,15.0%,,38.12,,,,,,,,,1.71%,
⁠300705,九典制药,0.0%,,15.01,,,,,,,,,0.67%,
⁠300750,宁德时代,35.0%,右侧,376.30,,,,,,,,,5.26%,
⁠300919,中伟新材,40.0%,,52.60,,,,,,,,,0.77%,
⁠301275,汉朔科技,20.0%,,51.18,,,,,,,,,2.52%,
⁠600105,永鼎股份,40.0%,,28.15,,,,,,,,,5.87%,
⁠600307,酒钢宏兴,40.0%,,1.85,,,,,,,,,-1.60%,
⁠600525,ST长园,50.0%,右侧,5.85,,,,,,,,,0.52%,
⁠600570,恒生电子,20.0%,,27.93,,,,,,,,,0.90%,
⁠600838,上海九百,30.0%,,10.88,,,,,,,,,1.12%,
⁠600875,东方电气,30.0%,,42.16,,,,,,,,,-1.95%,
⁠600966,博汇纸业,15.0%,,8.12,,,,,,,,,2.14%,
⁠601138,工业富联,0.0%,,54.36,,,,,,,,,2.97%,
⁠601231,环旭电子,15.0%,,41.17,,,,,,,,,7.35%,
⁠601636,旗滨集团,15.0%,,6.94,,,,,,,,,1.46%,
⁠603103,横店影视,30.0%,,24.60,,,,,,,,,-1.52%,
⁠603583,捷昌驱动,15.0%,,34.53,,,,,,,,,2.74%,
⁠603667,五洲新春,0.0%,,76.48,,,,,,,,,6.15%,
⁠603933,睿能科技,20.0%,,22.79,,,,,,,,,3.36%,
⁠688066,航天宏图,50.0%,,23.69,,,,,,,,,0.17%,
⁠688114,华大智造,15.0%,,56.11,,,,,,,,,1.46%,
⁠688256,寒武纪-U,70.0%,,1147.10,,,,,,,,,1.87%,
⁠688291,金橙子,55.0%,,45.84,,,,,,,,,2.90%,
⁠688498,源杰科技,30.0%,,917.86,,,,,,,,,13.84%,
⁠688795,摩尔线程-U,15.0%,,579.86,,,,,,,,,2.00%,
⁠688981,中芯国际,0.0%,,107.28,,,,,,,,,2.04%,
⁠920263,中航泰达,15.0%,,12.28,,,,,,,,,0.24%,
