股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠000035,中国天楹,60.0%,右侧,8.10,2.0700,10,10,6.87,30.11%,25.56%,34.33%,1.00,-2.41%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠000533,顺钠股份,60.0%,右侧,18.84,8.0600,7,13,13.00,61.98%,42.78%,74.77%,0.54,5.43%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002100,天康生物,60.0%,右侧,7.78,0.6800,7,13,7.19,9.45%,8.74%,9.58%,0.54,0.91%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002171,楚江新材,60.0%,,12.72,0.1100,8,11,12.92,0.85%,0.86%,0.87%,0.73,0.87%,总分60.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量60.0(推力40.0+支撑-10.0+攻击30.0)
⁠002202,金风科技,60.0%,右侧,31.29,6.4700,7,12,27.21,23.78%,20.68%,26.07%,0.58,3.47%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002364,中恒电气,60.0%,右侧,34.63,4.8700,9,10,33.73,14.44%,14.06%,16.36%,0.90,-4.57%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002506,协鑫集成,60.0%,右侧,5.87,1.7100,8,11,5.12,33.42%,29.13%,41.11%,0.73,-1.51%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002709,天赐材料,60.0%,右侧,48.63,9.2800,10,10,42.74,21.71%,19.08%,23.58%,1.00,-0.33%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠300139,晓程科技,60.0%,右侧,68.09,9.2900,11,9,67.02,13.86%,13.64%,15.80%,1.22,-1.76%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠300750,宁德时代,60.0%,右侧,395.50,32.5600,10,10,362.07,8.99%,8.23%,8.97%,1.00,-0.33%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠600525,ST长园,60.0%,右侧,5.90,1.2900,9,11,5.12,25.21%,21.86%,27.98%,0.82,-1.17%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠600875,东方电气,60.0%,右侧,40.47,13.7700,9,11,35.77,38.50%,34.03%,51.57%,0.82,-1.49%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠688498,源杰科技,60.0%,右侧,880.00,131.5100,10,10,811.32,16.21%,14.94%,17.57%,1.00,-2.28%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠000709,河钢股份,45.0%,右侧,2.61,0.1200,9,10,2.54,4.72%,4.60%,4.82%,0.90,2.76%,总分45.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠000983,山西焦煤,45.0%,右侧,7.47,0.3900,10,10,7.19,5.42%,5.22%,5.51%,1.00,3.32%,总分45.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠300699,光威复材,45.0%,右侧,41.57,1.5000,7,13,39.11,3.84%,3.61%,3.74%,0.54,7.06%,总分45.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠600307,酒钢宏兴,45.0%,右侧,2.02,0.1600,10,9,1.88,8.51%,7.92%,8.60%,1.11,6.88%,总分45.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠301275,汉朔科技,30.0%,,48.06,-10.6400,14,5,54.49,-19.53%,-22.14%,-18.13%,2.80,-1.17%,总分30.0 蓄势30.0(引力30.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠000558,天府文旅,20.0%,,4.78,-0.7500,10,9,5.03,-14.90%,-15.69%,-13.56%,1.11,0.42%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠000651,格力电器,20.0%,,37.88,-1.0400,10,10,37.94,-2.74%,-2.75%,-2.67%,1.00,0.21%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠000721,西安饮食,20.0%,,8.39,-0.6300,10,10,8.64,-7.29%,-7.51%,-6.98%,1.00,0.36%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠000905,厦门港务,20.0%,,11.90,-1.2600,10,10,12.58,-10.01%,-10.59%,-9.57%,1.00,-2.22%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠002050,三花智控,20.0%,,48.78,-1.3100,10,10,50.18,-2.61%,-2.69%,-2.62%,1.00,1.18%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠002155,湖南黄金,20.0%,,34.58,1.8700,13,7,35.78,5.23%,5.41%,5.72%,1.86,-2.54%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠002230,科大讯飞,20.0%,,52.68,-3.0700,11,9,54.79,-5.60%,-5.83%,-5.51%,1.22,-0.75%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠002271,东方雨虹,20.0%,,16.64,-1.6300,12,8,17.60,-9.26%,-9.80%,-8.92%,1.50,-1.19%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠002557,洽洽食品,20.0%,,22.17,-2.0300,14,6,23.13,-8.78%,-9.16%,-8.39%,2.33,-1.86%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠002715,登云股份,20.0%,,16.00,-1.1000,12,8,16.78,-6.56%,-6.88%,-6.43%,1.50,-2.79%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠300058,蓝色光标,20.0%,,15.66,-3.4700,14,6,17.88,-19.41%,-22.16%,-18.14%,2.33,-3.39%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠300223,北京君正,20.0%,,119.80,-8.5300,12,8,125.69,-6.79%,-7.12%,-6.65%,1.50,-0.99%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠300251,光线传媒,20.0%,,16.70,-4.1400,14,6,20.25,-20.44%,-24.79%,-19.87%,2.33,-1.82%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠300705,九典制药,20.0%,,14.69,-0.7100,10,10,15.20,-4.67%,-4.83%,-4.61%,1.00,-1.14%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠300919,中伟新材,20.0%,,53.55,3.0400,11,9,53.61,5.67%,5.68%,6.02%,1.22,-0.37%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠600105,永鼎股份,20.0%,,27.35,1.4500,8,12,27.81,5.21%,5.30%,5.60%,0.67,-3.93%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠600570,恒生电子,20.0%,,27.85,-2.2300,12,8,29.17,-7.64%,-8.01%,-7.41%,1.50,0.18%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠600838,上海九百,20.0%,,10.67,-2.1400,11,8,11.16,-19.17%,-20.06%,-16.71%,1.38,-0.65%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠600966,博汇纸业,20.0%,,7.98,0.6000,9,11,8.09,7.41%,7.52%,8.13%,0.82,-3.74%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠601138,工业富联,20.0%,,52.54,-1.3400,10,10,54.94,-2.44%,-2.55%,-2.49%,1.00,-2.50%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠601231,环旭电子,20.0%,,39.10,5.2500,11,9,41.02,12.80%,13.43%,15.51%,1.22,-2.71%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠601636,旗滨集团,20.0%,,6.92,-0.2900,9,10,7.19,-4.04%,-4.19%,-4.02%,0.90,-2.26%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠603103,横店影视,20.0%,,24.08,-7.5800,11,9,29.02,-26.12%,-31.48%,-23.94%,1.22,-1.39%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠603583,捷昌驱动,20.0%,,34.44,-1.8700,11,9,35.98,-5.20%,-5.43%,-5.15%,1.22,-1.32%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠603667,五洲新春,20.0%,,76.14,-1.7200,11,9,79.91,-2.15%,-2.26%,-2.21%,1.22,1.01%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠603933,睿能科技,20.0%,,21.81,-1.3000,9,10,22.77,-5.71%,-5.96%,-5.63%,0.90,-2.68%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠688066,航天宏图,20.0%,,22.66,-1.4500,11,9,24.41,-5.94%,-6.40%,-6.01%,1.22,-4.67%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠688114,华大智造,20.0%,,54.86,-11.8400,13,7,61.88,-19.13%,-21.58%,-17.75%,1.86,-1.31%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠688256,寒武纪-U,20.0%,,1099.00,40.6700,9,10,1116.61,3.64%,3.70%,3.84%,0.90,0.00%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠688291,金橙子,20.0%,,42.48,-2.3900,13,7,47.11,-5.07%,-5.63%,-5.33%,1.86,-3.98%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠688795,摩尔线程-U,20.0%,,557.18,22.6000,9,11,572.87,3.95%,4.06%,4.23%,0.82,-2.79%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠688981,中芯国际,20.0%,,106.01,-5.7900,11,9,111.71,-5.18%,-5.46%,-5.18%,1.22,-1.02%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠920263,中航泰达,20.0%,,11.80,-0.9300,11,9,12.87,-7.23%,-7.88%,-7.31%,1.22,-1.50%,总分20.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量20.0(推力0.0+支撑-10.0+攻击30.0)
⁠02899,紫金矿业,55.0%,,39.72,0.6200,12,8,42.19,1.47%,1.56%,1.59%,1.50,-0.10%,总分55.0 蓄势55.0(引力20.0+平衡20.0+量缩15.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠03690,美团-W,45.0%,,76.70,-14.7000,15,5,81.49,-18.04%,-19.17%,-16.08%,3.00,-0.90%,总分45.0 蓄势45.0(引力30.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠09988,阿里巴巴-W,45.0%,,131.60,-23.4000,15,5,143.89,-16.26%,-17.78%,-15.10%,3.00,-1.20%,总分45.0 蓄势45.0(引力30.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠00700,腾讯控股,35.0%,,546.50,-13.5000,13,7,529.67,-2.55%,-2.47%,-2.41%,1.86,-1.00%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠00981,中芯国际,35.0%,,63.10,-4.5000,12,8,66.47,-6.77%,-7.13%,-6.66%,1.50,-1.02%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
