股票代码,股票名称,日期,总分,蓄势分,平衡分,动量分,买点类型,蓄势等级,动量等级,ratio_d20,ratio_d1,volume_ratio,fz_ratio,instant_deviation,rising_days,falling_days
002395,双象股份,2026-03-05,90.0,90.0,40.0,-10.0,左侧,S,,-0.004228329809725068,-0.004210526315789384,0.51046325365894,1.5,-0.7144999999999975,8,12
002709,天赐材料,2026-03-05,55.0,20.0,0.0,55.0,,,,0.02465039108793551,0.025273390036451984,1.3577533987702102,1.5,0.6910000000000025,8,12
002759,天际股份,2026-03-05,50.0,50.0,0.0,-10.0,,,,-0.05694564279551328,-0.05387755102040808,0.5184200304156361,1.5,-3.5094999999999956,8,12
601888,中国中免,2026-03-05,50.0,50.0,0.0,-10.0,,,,-0.20732504905166768,-0.1717226435536294,0.5326497625661357,1.5,-11.126999999999995,8,12
00700,腾讯控股,2026-03-05,35.0,35.0,0.0,-10.0,,,,-0.20717131474103587,-0.1716171617161716,0.7716717568006678,2.3333333333333335,-36.75,6,14
002636,金安国纪,2026-03-05,30.0,0.0,0.0,30.0,,,,0.0726930320150659,0.07839155158407797,0.9374414045641651,0.8181818181818182,0.9370000000000012,11,9
600436,片仔癀,2026-03-05,30.0,30.0,0.0,-10.0,,,,-0.062420382165605165,-0.05875299760191853,0.35504229469097565,1.375,-6.934500000000014,8,11
603667,五洲新春,2026-03-05,30.0,30.0,0.0,-10.0,,,,-0.0418094585332419,-0.040131578947368386,0.5078643833348444,1.0,-8.019999999999996,10,10
300223,北京君正,2026-03-05,20.0,20.0,0.0,-10.0,,,,-0.1160162601626017,-0.1039557077292927,1.0990122131032183,1.5,-5.978499999999997,8,12
603260,合盛硅业,2026-03-05,20.0,20.0,0.0,-10.0,,,,-0.10139496148240677,-0.0920604914933837,0.8104410889922388,1.8571428571428572,-1.616500000000002,7,13
000333,美的集团,2026-03-05,15.0,15.0,0.0,-10.0,,,,-0.02110921725449062,-0.020672829994863886,0.6252815491564251,1.0,-2.353499999999997,10,10
000547,航天发展,2026-03-05,15.0,0.0,0.0,15.0,,,,0.14014552356849097,0.16298749080206032,1.0650864509696,0.6666666666666666,1.7564999999999955,12,8
000566,海南海药,2026-03-05,15.0,15.0,0.0,-10.0,,,,-0.13580246913580254,-0.11956521739130441,0.7136207277638479,1.0,-0.5,10,10
000735,罗 牛 山,2026-03-05,15.0,15.0,0.0,-10.0,,,,-0.0840000000000001,-0.07749077490774917,0.7064842405477825,1.2222222222222223,-0.2939999999999996,9,11
002171,楚江新材,2026-03-05,15.0,15.0,0.0,-10.0,,,,-0.057054741711642265,-0.053975200583515695,0.7865912798882194,1.1111111111111112,-0.07900000000000063,9,10
002460,赣锋锂业,2026-03-05,15.0,15.0,0.0,-10.0,,,,-0.09907628128724659,-0.09014504541141374,0.6836564053307342,1.0,-0.9549999999999983,10,10
688114,华大智造,2026-03-05,0.0,0.0,0.0,-10.0,,,,-0.2120122280165439,-0.17492581602373894,0.9065176698802727,1.2222222222222223,-8.938500000000005,9,11
