股票代码,股票名称,日期,总分,蓄势分,平衡分,动量分,买点类型,蓄势等级,动量等级,ratio_d20,ratio_d1,volume_ratio,fz_ratio,instant_deviation,rising_days,falling_days
002557,洽洽食品,2026-03-04,75.0,75.0,40.0,-10.0,左侧,A,,-0.004843681197710234,-0.004820333041191912,0.6164275431046732,1.8571428571428572,-0.6154999999999973,7,13
003007,直真科技,2026-03-04,75.0,75.0,40.0,-10.0,左侧,A,,-0.008194855451855212,-0.008128245653646409,0.7766412762031044,2.3333333333333335,-0.7594999999999956,6,14
300058,蓝色光标,2026-03-04,60.0,60.0,0.0,-10.0,,,,-0.24678505817513788,-0.19793713163064838,0.3978764224112645,3.0,-3.1529999999999987,5,15
301275,汉朔科技,2026-03-04,60.0,60.0,0.0,-10.0,,,,-0.17968749999999992,-0.15231788079470193,0.5866576751481876,2.8,-6.188499999999998,5,14
300750,宁德时代,2026-03-04,55.0,55.0,40.0,-10.0,左侧,,,-0.0032162879905577807,-0.003205976646372046,0.7956791042622602,1.2222222222222223,-16.309000000000026,9,11
000905,厦门港务,2026-03-04,50.0,0.0,0.0,50.0,,,,-0.02848344880677438,-0.027694610778443058,1.7818073650742967,0.8181818181818182,0.30150000000000077,11,9
600525,ST长园,2026-03-04,50.0,0.0,0.0,50.0,右侧,,,0.12222222222222225,0.13924050632911394,1.8446371639291321,1.0,0.6299999999999999,10,10
600838,上海九百,2026-03-04,50.0,50.0,0.0,-10.0,,,,-0.20877025738798852,-0.17271293375394317,0.4693287006641152,1.7142857142857142,-1.1310000000000002,7,12
688066,航天宏图,2026-03-04,50.0,50.0,0.0,-10.0,,,,-0.6172484599589323,-0.38166582021330625,0.5143486017018011,2.3333333333333335,-2.562999999999999,6,14
000709,河钢股份,2026-03-04,40.0,40.0,40.0,30.0,,,,-0.007812500000000007,-0.007751937984496131,0.9338812364316023,0.8181818181818182,0.034499999999999975,11,9
002364,中恒电气,2026-03-04,40.0,40.0,40.0,-10.0,,,,-0.006211180124223469,-0.006172839506172708,0.807198444199265,0.7272727272727273,-0.5784999999999911,11,8
002230,科大讯飞,2026-03-04,35.0,35.0,0.0,-10.0,,,,-0.10827532869296214,-0.09769713886950455,0.6091165105753453,1.8571428571428572,-4.688500000000005,7,13
002709,天赐材料,2026-03-04,35.0,35.0,0.0,-10.0,,,,-0.031565967940813844,-0.030600047812574735,0.6742543747684944,1.5,-0.9310000000000045,8,12
000533,顺钠股份,2026-03-04,30.0,15.0,0.0,30.0,,,,0.2788617886178863,0.3866967305524241,0.6255276088733434,1.0,1.434000000000001,10,10
000721,西安饮食,2026-03-04,30.0,30.0,0.0,-10.0,,,,-0.12257281553398056,-0.10918918918918917,0.5996070132842188,1.0,-0.620000000000001,10,10
000983,山西焦煤,2026-03-04,30.0,0.0,0.0,30.0,,,,0.034993270524899034,0.03626220362622033,1.1989817056139376,0.6666666666666666,0.2939999999999996,12,8
002155,湖南黄金,2026-03-04,30.0,0.0,0.0,30.0,,,,0.21165248775457596,0.2684761281883584,1.0875338875139622,1.0,3.5264999999999986,10,10
300139,晓程科技,2026-03-04,30.0,0.0,0.0,30.0,,,,0.09370988446726586,0.10339943342776221,1.1474307134785349,0.6666666666666666,11.906999999999996,12,8
600105,永鼎股份,2026-03-04,30.0,15.0,0.0,30.0,,,,0.018656716417910446,0.019011406844106463,0.6259328986456092,0.8181818181818182,-0.7774999999999963,11,9
600570,恒生电子,2026-03-04,30.0,30.0,0.0,-10.0,,,,-0.19430051813471516,-0.16268980477223438,1.2515374439593907,2.8,-3.162499999999998,5,14
600966,博汇纸业,2026-03-04,30.0,15.0,0.0,30.0,,,,0.073019801980198,0.07877169559412547,0.734578976819583,0.6666666666666666,0.2060000000000004,12,8
601231,环旭电子,2026-03-04,30.0,0.0,0.0,30.0,,,,0.2341184867951464,0.3056849953401679,0.8065298864052036,1.0,3.030000000000001,10,10
