股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠002709,天赐材料,60.0%,右侧,45.15,4.3600,10,10,41.92,10.40%,9.66%,10.69%,1.00,4.13%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠00700,腾讯控股,60.0%,,553.50,-5.0000,12,8,530.05,-0.94%,-0.90%,-0.90%,1.50,7.27%,总分60.0 蓄势60.0(引力20.0+平衡40.0+量缩0.0) 动量35.0(推力0.0+支撑15.0+攻击20.0)
⁠002460,赣锋锂业,55.0%,,69.02,1.1200,8,12,67.79,1.65%,1.62%,1.65%,0.67,1.86%,总分55.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量55.0(推力40.0+支撑15.0+攻击0.0)
⁠002395,双象股份,50.0%,,19.05,-1.4200,12,8,19.57,-7.25%,-7.45%,-6.94%,1.50,1.22%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000547,航天发展,30.0%,,33.66,1.2800,9,11,30.52,4.19%,3.80%,3.95%,0.82,4.86%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠002636,金安国纪,30.0%,,27.87,3.4200,9,11,25.86,13.23%,12.27%,13.99%,0.82,9.98%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量15.0(推力0.0+支撑15.0+攻击0.0)
⁠600436,片仔癀,30.0%,,158.21,-2.4900,11,9,163.24,-1.53%,-1.57%,-1.55%,1.22,0.69%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601888,中国中免,30.0%,,75.40,-16.2000,11,9,85.40,-18.97%,-21.49%,-17.69%,1.22,0.40%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000333,美的集团,15.0%,,76.60,-1.3100,10,10,78.38,-1.67%,-1.71%,-1.68%,1.00,1.58%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000566,海南海药,15.0%,,5.74,-0.5500,9,10,6.08,-9.05%,-9.58%,-8.74%,0.90,0.00%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000735,罗 牛 山,15.0%,,7.65,-0.2300,11,9,7.72,-2.98%,-3.01%,-2.92%,1.22,0.53%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688114,华大智造,15.0%,,56.11,-10.2400,11,9,63.03,-16.25%,-18.25%,-15.43%,1.22,1.46%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002171,楚江新材,0.0%,,12.55,-0.4800,9,10,12.96,-3.70%,-3.82%,-3.68%,0.90,2.03%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002759,天际股份,0.0%,,35.24,-3.2900,11,9,37.86,-8.69%,-9.34%,-8.54%,1.22,3.49%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300223,北京君正,0.0%,,124.50,-9.2300,11,9,126.95,-7.27%,-7.41%,-6.90%,1.22,4.38%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603260,合盛硅业,0.0%,,47.99,-1.0200,11,9,49.38,-2.07%,-2.13%,-2.08%,1.22,0.36%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603667,五洲新春,0.0%,,76.48,-3.9100,10,10,80.45,-4.86%,-5.11%,-4.86%,1.00,6.15%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
