股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠002557,洽洽食品,90.0%,左侧,23.10,0.2200,13,7,23.31,0.94%,0.95%,0.96%,1.86,1.54%,总分90.0 蓄势90.0(引力20.0+平衡40.0+量缩30.0)S 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠002100,天康生物,75.0%,右侧,7.28,0.0200,9,11,7.09,0.28%,0.27%,0.28%,0.82,4.15%,总分75.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量75.0(推力40.0+支撑15.0+攻击20.0)
⁠000709,河钢股份,70.0%,,2.58,0.0700,9,10,2.52,2.77%,2.71%,2.79%,0.90,0.78%,总分70.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量70.0(推力40.0+支撑30.0+攻击0.0)
⁠000035,中国天楹,60.0%,右侧,7.82,1.7100,10,10,6.47,26.42%,21.87%,27.99%,1.00,5.11%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠300058,蓝色光标,60.0%,,16.51,-6.8200,15,5,18.95,-35.98%,-41.31%,-29.23%,3.00,-0.78%,总分60.0 蓄势60.0(引力30.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000905,厦门港务,55.0%,,12.72,0.0700,9,11,12.64,0.55%,0.55%,0.55%,0.82,1.27%,总分55.0 蓄势55.0(引力0.0+平衡40.0+量缩15.0) 动量55.0(推力40.0+支撑15.0+攻击0.0)
⁠002155,湖南黄金,55.0%,,37.00,0.0000,11,9,35.75,0.00%,0.00%,0.00%,1.22,0.35%,总分55.0 蓄势55.0(引力0.0+平衡40.0+量缩15.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠002271,东方雨虹,55.0%,左侧,17.11,-0.1700,11,9,17.70,-0.96%,-0.99%,-0.98%,1.22,0.35%,总分55.0 蓄势55.0(引力0.0+平衡40.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002709,天赐材料,55.0%,,41.90,1.1900,12,8,41.54,2.86%,2.84%,2.92%,1.50,-0.69%,总分55.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量55.0(推力40.0+支撑15.0+攻击0.0)
⁠002230,科大讯飞,50.0%,,52.53,-7.0700,12,8,55.73,-12.69%,-13.46%,-11.86%,1.50,0.65%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300251,光线传媒,50.0%,,17.48,-2.0800,12,8,20.76,-10.02%,-11.90%,-10.63%,1.50,-0.23%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
