股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠002636,金安国纪,70.0%,,26.00,0.5400,9,11,25.68,2.10%,2.08%,2.12%,0.82,-2.07%,总分70.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量70.0(推力40.0+支撑30.0+攻击0.0)
⁠002709,天赐材料,55.0%,,41.90,1.1900,12,8,41.54,2.86%,2.84%,2.92%,1.50,-0.69%,总分55.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量55.0(推力40.0+支撑15.0+攻击0.0)
⁠600436,片仔癀,50.0%,左侧,158.33,-2.0700,11,8,163.51,-1.27%,-1.31%,-1.29%,1.38,0.85%,总分50.0 蓄势50.0(引力0.0+平衡20.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601888,中国中免,50.0%,,76.62,-12.7500,12,8,86.79,-14.69%,-16.64%,-14.27%,1.50,0.22%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000333,美的集团,35.0%,,76.52,-1.0700,10,10,78.56,-1.36%,-1.40%,-1.38%,1.00,0.33%,总分35.0 蓄势35.0(引力0.0+平衡20.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002395,双象股份,35.0%,,19.28,-0.5500,12,8,19.65,-2.80%,-2.85%,-2.77%,1.50,1.90%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002759,天际股份,35.0%,,33.87,-3.8500,12,8,38.14,-10.10%,-11.37%,-10.21%,1.50,-2.59%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603260,合盛硅业,35.0%,,48.76,-0.9400,12,8,49.44,-1.90%,-1.93%,-1.89%,1.50,1.52%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603667,五洲新春,30.0%,,72.57,-3.2700,10,10,80.80,-4.05%,-4.51%,-4.31%,1.00,-0.52%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠00700,腾讯控股,20.0%,,519.00,-79.5000,13,7,534.40,-14.88%,-15.32%,-13.28%,1.86,3.39%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000547,航天发展,15.0%,,32.66,4.1800,8,12,30.13,13.87%,12.80%,14.68%,0.67,3.32%,总分15.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量15.0(推力0.0+支撑15.0+攻击0.0)
⁠000566,海南海药,15.0%,,5.77,-0.6900,9,11,6.14,-11.24%,-11.96%,-10.68%,0.82,1.76%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002171,楚江新材,15.0%,,12.81,-0.3900,10,9,13.00,-3.00%,-3.04%,-2.95%,1.11,-1.23%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002460,赣锋锂业,15.0%,,65.89,-2.7100,10,10,67.68,-4.00%,-4.11%,-3.95%,1.00,-1.83%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000735,罗 牛 山,0.0%,,7.76,-0.6900,11,9,7.78,-8.87%,-8.89%,-8.17%,1.22,3.47%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300223,北京君正,0.0%,,124.53,-19.2700,11,9,128.34,-15.01%,-15.47%,-13.40%,1.22,1.24%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688114,华大智造,0.0%,,56.36,-8.7700,11,9,64.00,-13.70%,-15.56%,-13.47%,1.22,1.35%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
