股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠002557,洽洽食品,90.0%,左侧,23.10,0.2200,13,7,23.31,0.94%,0.95%,0.96%,1.86,1.54%,总分90.0 蓄势90.0(引力20.0+平衡40.0+量缩30.0)S 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠603337,杰克科技,85.0%,右侧,45.75,1.2500,12,8,43.95,2.84%,2.73%,2.81%,1.50,3.65%,总分85.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量85.0(推力40.0+支撑15.0+攻击30.0)分批买入
⁠002415,海康威视,70.0%,左侧,31.07,-0.2600,11,9,31.77,-0.82%,-0.84%,-0.83%,1.22,1.01%,总分70.0 蓄势70.0(引力0.0+平衡40.0+量缩30.0)A 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002518,科士达,70.0%,,56.98,0.8000,10,10,55.02,1.45%,1.40%,1.42%,1.00,1.32%,总分70.0 蓄势20.0(引力0.0+平衡20.0+量缩0.0) 动量70.0(推力40.0+支撑30.0+攻击0.0)
⁠601868,中国能建,60.0%,右侧,2.89,0.4600,7,11,2.48,18.54%,15.92%,18.93%,0.64,9.89%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002709,天赐材料,55.0%,,41.90,1.1900,12,8,41.54,2.86%,2.84%,2.92%,1.50,-0.69%,总分55.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量55.0(推力40.0+支撑15.0+攻击0.0)
⁠003007,直真科技,55.0%,,44.65,0.4900,14,6,44.67,1.10%,1.10%,1.11%,2.33,2.34%,总分55.0 蓄势55.0(引力20.0+平衡20.0+量缩15.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠603005,晶方科技,55.0%,左侧,31.64,-0.0300,11,9,31.89,-0.09%,-0.09%,-0.09%,1.22,-2.56%,总分55.0 蓄势55.0(引力0.0+平衡40.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002153,石基信息,50.0%,,11.03,-1.7700,12,7,12.23,-14.47%,-16.05%,-13.83%,1.71,0.27%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002230,科大讯飞,50.0%,,52.53,-7.0700,12,8,55.73,-12.69%,-13.46%,-11.86%,1.50,0.65%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600436,片仔癀,50.0%,左侧,158.33,-2.0700,11,8,163.51,-1.27%,-1.31%,-1.29%,1.38,0.85%,总分50.0 蓄势50.0(引力0.0+平衡20.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600875,东方电气,50.0%,右侧,44.22,19.3700,7,13,32.49,59.62%,43.80%,77.95%,0.54,4.76%,总分50.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量50.0(推力0.0+支撑30.0+攻击20.0)
⁠601179,中国西电,50.0%,右侧,19.30,4.8000,7,13,15.62,30.73%,24.87%,33.10%,0.54,6.57%,总分50.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量50.0(推力0.0+支撑30.0+攻击20.0)
⁠603738,泰晶科技,50.0%,右侧,23.36,7.2700,7,12,18.80,38.66%,31.12%,45.18%,0.58,-1.52%,总分50.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量50.0(推力0.0+支撑30.0+攻击20.0)
⁠603918,金桥信息,50.0%,,14.87,-1.9800,12,8,15.96,-12.40%,-13.32%,-11.75%,1.50,1.23%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002364,中恒电气,45.0%,右侧,35.66,4.2600,8,11,32.95,12.93%,11.95%,13.57%,0.73,8.65%,总分45.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠600703,三安光电,45.0%,右侧,16.97,0.8100,12,8,15.93,5.09%,4.77%,5.01%,1.50,5.21%,总分45.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠601669,中国电建,45.0%,右侧,5.96,0.3000,10,10,5.62,5.34%,5.03%,5.30%,1.00,3.65%,总分45.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量45.0(推力0.0+支撑15.0+攻击30.0)
⁠600353,旭光电子,40.0%,,17.41,0.0700,11,9,18.49,0.38%,0.40%,0.40%,1.22,-2.74%,总分40.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠000938,紫光股份,35.0%,,24.13,-0.8900,12,8,24.89,-3.58%,-3.69%,-3.56%,1.50,0.12%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002402,和而泰,35.0%,,33.38,-4.1500,14,6,35.80,-11.59%,-12.43%,-11.06%,2.33,-0.06%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002759,天际股份,35.0%,,33.87,-3.8500,12,8,38.14,-10.10%,-11.37%,-10.21%,1.50,-2.59%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600570,恒生电子,35.0%,,27.86,-3.1900,13,7,29.72,-10.73%,-11.45%,-10.27%,1.86,1.38%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603019,中科曙光,35.0%,,84.19,-5.5800,12,8,88.51,-6.30%,-6.63%,-6.22%,1.50,-0.71%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603068,博通集成,35.0%,,34.51,-4.6000,12,8,37.12,-12.39%,-13.33%,-11.76%,1.50,0.03%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603486,科沃斯,35.0%,,64.85,-6.9700,14,6,70.02,-9.95%,-10.75%,-9.70%,2.33,0.42%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000558,天府文旅,30.0%,,4.76,-0.5700,9,10,5.17,-11.03%,-11.97%,-10.69%,0.90,1.71%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000721,西安饮食,30.0%,,8.43,-0.8300,10,10,8.76,-9.47%,-9.85%,-8.96%,1.00,1.81%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000977,浪潮信息,30.0%,,59.43,-3.4700,10,10,61.43,-5.65%,-5.84%,-5.52%,1.00,0.17%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002050,三花智控,30.0%,,47.71,-3.2300,10,10,50.84,-6.35%,-6.77%,-6.34%,1.00,0.25%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002202,金风科技,30.0%,,28.47,2.3600,9,11,26.60,8.87%,8.29%,9.04%,0.82,1.68%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠002320,海峡股份,30.0%,,10.01,-0.6000,8,10,10.42,-5.76%,-5.99%,-5.66%,0.80,0.20%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002413,雷科防务,30.0%,,15.64,2.3100,10,9,14.85,15.56%,14.77%,17.33%,1.11,-4.11%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠002624,完美世界,30.0%,,20.20,1.3600,9,11,20.33,6.69%,6.73%,7.22%,0.82,0.75%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠301008,宏昌科技,30.0%,,32.61,-2.6500,9,10,34.91,-7.59%,-8.13%,-7.52%,0.90,0.90%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600089,特变电工,30.0%,,32.23,5.0300,10,10,29.43,17.09%,15.61%,18.49%,1.00,-1.68%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠600105,永鼎股份,30.0%,,26.98,0.5500,9,11,27.67,1.99%,2.04%,2.08%,0.82,-3.95%,总分30.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
⁠600498,烽火通信,30.0%,,52.76,13.1600,9,10,46.09,28.56%,24.94%,33.23%,0.90,-7.06%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠600584,长电科技,30.0%,,47.04,-2.4400,10,10,46.93,-5.20%,-5.19%,-4.93%,1.00,-3.41%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠601615,明阳智能,30.0%,,20.23,-2.9700,11,9,22.89,-12.98%,-14.68%,-12.80%,1.22,0.65%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603297,永新光学,30.0%,,119.39,15.0800,9,11,116.48,12.95%,12.63%,14.46%,0.82,-2.87%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠603496,恒为科技,30.0%,,30.60,1.5800,10,10,29.75,5.31%,5.16%,5.44%,1.00,0.92%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠603667,五洲新春,30.0%,,72.57,-3.2700,10,10,80.80,-4.05%,-4.51%,-4.31%,1.00,-0.52%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603859,能科科技,30.0%,,43.51,-4.3300,11,9,46.49,-9.31%,-9.95%,-9.05%,1.22,0.18%,总分30.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002549,凯美特气,20.0%,,20.62,-0.3300,12,7,20.98,-1.57%,-1.60%,-1.58%,1.71,-2.46%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠00700,腾讯控股,20.0%,,519.00,-40.0000,12,8,605.40,-6.61%,-7.14%,-6.67%,1.50,3.39%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠02565,派格生物医药－Ｂ,20.0%,,60.10,-11.7500,12,8,66.51,-17.67%,-19.55%,-16.35%,1.50,-3.06%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000997,新 大 陆,15.0%,,23.15,-4.1700,11,9,25.60,-16.29%,-18.01%,-15.26%,1.22,0.74%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002025,航天电器,15.0%,,51.98,1.7000,9,11,51.88,3.28%,3.27%,3.38%,0.82,2.52%,总分15.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量15.0(推力0.0+支撑15.0+攻击0.0)
⁠002156,通富微电,15.0%,,47.93,-4.1300,11,9,49.28,-8.38%,-8.62%,-7.93%,1.22,-1.86%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002171,楚江新材,15.0%,,12.81,-0.3900,10,9,13.00,-3.00%,-3.04%,-2.95%,1.11,-1.23%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002173,创新医疗,15.0%,,29.91,1.8900,9,11,29.05,6.51%,6.32%,6.75%,0.82,2.29%,总分15.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量15.0(推力0.0+支撑15.0+攻击0.0)
⁠002241,歌尔股份,15.0%,,25.36,-0.6400,9,11,26.21,-2.44%,-2.52%,-2.46%,0.82,0.92%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002335,科华数据,15.0%,,60.70,-1.8000,10,9,59.93,-3.00%,-2.97%,-2.88%,1.11,4.87%,总分15.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量15.0(推力0.0+支撑15.0+攻击0.0)
⁠002603,以岭药业,15.0%,,16.76,-0.8100,11,8,17.39,-4.66%,-4.83%,-4.61%,1.38,1.95%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002611,东方精工,15.0%,,16.80,-1.1200,11,9,17.68,-6.34%,-6.67%,-6.25%,1.22,-0.24%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002625,光启技术,15.0%,,45.96,-1.5100,10,10,46.97,-3.21%,-3.29%,-3.18%,1.00,0.04%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300169,天晟新材,15.0%,,6.73,-0.1300,11,9,6.88,-1.89%,-1.93%,-1.90%,1.22,4.18%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600619,海立股份,15.0%,,18.32,-0.4600,11,8,18.40,-2.50%,-2.51%,-2.45%,1.38,0.94%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600660,福耀玻璃,15.0%,,59.02,-2.7200,11,9,60.55,-4.49%,-4.61%,-4.41%,1.22,-0.59%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601138,工业富联,15.0%,,54.33,-3.3700,9,11,55.39,-6.08%,-6.20%,-5.84%,0.82,-1.40%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601609,金田股份,15.0%,,11.15,-0.7600,11,9,11.47,-6.62%,-6.82%,-6.38%,1.22,-1.33%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603228,景旺电子,15.0%,,62.27,-1.8400,10,10,63.42,-2.90%,-2.95%,-2.87%,1.00,-0.30%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603601,再升科技,15.0%,,11.76,0.4400,10,9,11.96,3.68%,3.74%,3.89%,1.11,0.86%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603800,洪田股份,15.0%,,39.22,-1.6000,11,9,39.71,-4.03%,-4.08%,-3.92%,1.22,-2.10%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603933,睿能科技,15.0%,,22.23,-0.7900,8,11,22.90,-3.45%,-3.55%,-3.43%,0.73,2.16%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000735,罗 牛 山,0.0%,,7.76,-0.6900,11,9,7.78,-8.87%,-8.89%,-8.17%,1.22,3.47%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300223,北京君正,0.0%,,124.53,-19.2700,11,9,128.34,-15.01%,-15.47%,-13.40%,1.22,1.24%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688114,华大智造,0.0%,,56.36,-8.7700,11,9,64.00,-13.70%,-15.56%,-13.47%,1.22,1.35%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
