股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠002155,湖南黄金,90.0%,左侧,36.49,-0.1400,12,8,35.91,-0.39%,-0.38%,-0.38%,1.50,-1.35%,总分90.0 蓄势90.0(引力20.0+平衡40.0+量缩30.0)S 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠000905,厦门港务,70.0%,左侧,12.40,-0.0800,8,12,12.63,-0.63%,-0.65%,-0.64%,0.67,0.81%,总分70.0 蓄势70.0(引力0.0+平衡40.0+量缩30.0)A 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688256,寒武纪-U,70.0%,,1147.10,19.1000,10,10,1116.50,1.71%,1.67%,1.69%,1.00,1.87%,总分70.0 蓄势30.0(引力0.0+平衡0.0+量缩30.0) 动量70.0(推力40.0+支撑30.0+攻击0.0)
⁠000035,中国天楹,60.0%,右侧,8.13,2.1000,9,11,6.66,31.52%,25.83%,34.83%,0.82,5.04%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠000533,顺钠股份,60.0%,右侧,17.66,7.5200,7,13,12.23,61.47%,42.58%,74.16%,0.54,7.88%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002100,天康生物,60.0%,右侧,7.61,0.5800,7,13,7.13,8.14%,7.62%,8.25%,0.54,2.15%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002709,天赐材料,60.0%,右侧,45.15,4.3600,10,10,41.92,10.40%,9.66%,10.69%,1.00,4.13%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠002271,东方雨虹,55.0%,,16.96,-0.1100,10,10,17.70,-0.62%,-0.65%,-0.64%,1.00,3.10%,总分55.0 蓄势55.0(引力0.0+平衡40.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠688291,金橙子,55.0%,,45.84,-0.6900,12,8,47.34,-1.46%,-1.51%,-1.48%,1.50,2.90%,总分55.0 蓄势55.0(引力20.0+平衡20.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002557,洽洽食品,50.0%,,22.96,-0.6300,13,7,23.25,-2.71%,-2.74%,-2.67%,1.86,0.88%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300251,光线传媒,50.0%,,17.30,-2.8400,13,7,20.53,-13.83%,-16.42%,-14.10%,1.86,0.12%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600525,ST长园,50.0%,右侧,5.85,1.2600,9,11,4.99,25.26%,21.54%,27.45%,0.82,0.52%,总分50.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量50.0(推力0.0+支撑30.0+攻击20.0)
⁠688066,航天宏图,50.0%,,23.69,-3.1900,12,8,24.71,-12.91%,-13.47%,-11.87%,1.50,0.17%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠300919,中伟新材,40.0%,,52.60,-0.3200,10,10,53.55,-0.60%,-0.61%,-0.60%,1.00,0.77%,总分40.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠600105,永鼎股份,40.0%,,28.15,-0.0500,8,12,27.79,-0.18%,-0.18%,-0.18%,0.67,5.87%,总分40.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量15.0(推力0.0+支撑15.0+攻击0.0)
⁠600307,酒钢宏兴,40.0%,,1.85,0.0100,10,9,1.87,0.53%,0.54%,0.54%,1.11,-1.60%,总分40.0 蓄势40.0(引力0.0+平衡40.0+量缩0.0) 动量30.0(推力40.0+支撑-10.0+攻击0.0)
