股票代码,股票名称,信号强度,买点类型,当前价格,Δ (20日位移),F (下跌天),Z (上涨天),d (20日均价),Δ/d (位移/均价),Δ/d₂₀,Δ/d₁,F/Z,当前涨跌幅,得分明细
⁠000547,航天发展,70.0%,,33.31,0.8100,10,10,30.57,2.65%,2.43%,2.49%,1.00,-1.04%,总分70.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量70.0(推力40.0+支撑30.0+攻击0.0)
⁠002709,天赐材料,60.0%,右侧,48.79,8.4400,10,10,42.32,19.94%,17.30%,20.92%,1.00,8.06%,总分60.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量60.0(推力0.0+支撑30.0+攻击30.0)
⁠600436,片仔癀,50.0%,,157.65,-6.2400,12,8,163.08,-3.83%,-3.96%,-3.81%,1.50,-0.35%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠601888,中国中免,50.0%,,74.33,-17.1600,12,8,84.54,-20.30%,-23.09%,-18.76%,1.50,-1.42%,总分50.0 蓄势50.0(引力20.0+平衡0.0+量缩30.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002395,双象股份,35.0%,,19.07,-0.8100,12,8,19.50,-4.15%,-4.25%,-4.07%,1.50,0.10%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002636,金安国纪,35.0%,右侧,28.60,4.5900,9,11,26.06,17.61%,16.05%,19.12%,0.82,2.62%,总分35.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量35.0(推力0.0+支撑15.0+攻击20.0)
⁠688114,华大智造,35.0%,,55.59,-11.6200,12,8,62.50,-18.59%,-20.90%,-17.29%,1.50,-0.93%,总分35.0 蓄势35.0(引力20.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002460,赣锋锂业,30.0%,,70.17,3.0200,8,12,67.91,4.45%,4.30%,4.50%,0.67,1.67%,总分30.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量30.0(推力0.0+支撑30.0+攻击0.0)
⁠300223,北京君正,20.0%,,121.00,-11.1500,12,8,126.31,-8.83%,-9.21%,-8.44%,1.50,-2.81%,总分20.0 蓄势20.0(引力20.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000566,海南海药,15.0%,,5.67,-0.6700,10,9,6.05,-11.08%,-11.82%,-10.57%,1.11,-1.22%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000735,罗 牛 山,15.0%,,7.63,-0.2400,11,9,7.70,-3.12%,-3.15%,-3.05%,1.22,-0.26%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002171,楚江新材,15.0%,,12.61,-0.3800,9,10,12.94,-2.94%,-3.01%,-2.93%,0.90,0.48%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603667,五洲新春,15.0%,,75.38,-6.5500,11,9,80.20,-8.17%,-8.69%,-7.99%,1.22,-1.44%,总分15.0 蓄势15.0(引力0.0+平衡0.0+量缩15.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠000333,美的集团,0.0%,,77.39,-2.4200,10,10,78.36,-3.09%,-3.13%,-3.03%,1.00,1.03%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠002759,天际股份,0.0%,,36.78,-1.2300,11,9,37.77,-3.26%,-3.34%,-3.24%,1.22,4.37%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠603260,合盛硅业,0.0%,,48.80,-1.1300,11,9,49.37,-2.29%,-2.32%,-2.26%,1.22,1.69%,总分0.0 蓄势0.0(引力0.0+平衡0.0+量缩0.0) 动量-10.0(推力0.0+支撑-10.0+攻击0.0)
⁠00700,腾讯控股,75.0%,右侧,552.00,4.5000,13,7,529.73,0.85%,0.82%,0.82%,1.86,-0.27%,总分75.0 蓄势60.0(引力20.0+平衡40.0+量缩0.0) 动量75.0(推力40.0+支撑15.0+攻击20.0)
